model,raw_model,input_mode,source_video,task_family,premise,condition,target_score,baseline_score,target_minus_baseline,target_response,baseline_response
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,50,50,0,50,"50

### Explanation:
The statement"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,95,20,75,95,20
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,85,75,10,85,75
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,70,90,-20,70,90
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,100,100,0,100,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,100,100,0,100,100
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Supplement1_ControlPremise.m4v,Supplement1,ControlPremise,,100,100,0,100,100
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,100,50,50,100,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,85,50,35,85,"50

### Explanation:
The video"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,80,50,30,80,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,95,20,75,95,20
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,95,0,95,95,0
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,70,20,50,70,20
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,100,100,0,100,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,100,0,100,100,0
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Supplement2_TargetPremise.m4v,Supplement2,TargetPremise,,100,100,0,100,"thought
100"
Qwen/Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct,split,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,90,50,40,90,50
Qwen/Qwen2.5-VL-32B-Instruct [pure-text],Qwen/Qwen2.5-VL-32B-Instruct,pure-text,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,75,50,25,75,"50

### Explanation:
- The"
Qwen/Qwen2.5-VL-32B-Instruct [pure-video],Qwen/Qwen2.5-VL-32B-Instruct,pure-video,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,80,50,30,80,50
Qwen/Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct,split,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-text],Qwen/Qwen2.5-VL-3B-Instruct,pure-text,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,85,50,35,85,50
Qwen/Qwen2.5-VL-3B-Instruct [pure-video],Qwen/Qwen2.5-VL-3B-Instruct,pure-video,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,50,50,0,50,50
Qwen/Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,split,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,95,0,95,95,0
Qwen/Qwen2.5-VL-7B-Instruct [pure-text],Qwen/Qwen2.5-VL-7B-Instruct,pure-text,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,85,0,85,85,0
Qwen/Qwen2.5-VL-7B-Instruct [pure-video],Qwen/Qwen2.5-VL-7B-Instruct,pure-video,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,85,20,65,85,20
google/gemma-4-12B-it,google/gemma-4-12B-it,split,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,100,100,0,100,100
google/gemma-4-12B-it [pure-text],google/gemma-4-12B-it,pure-text,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,100,0,100,100,0
google/gemma-4-12B-it [pure-video],google/gemma-4-12B-it,pure-video,materials\animations\Supplement2_ControlPremise.m4v,Supplement2,ControlPremise,,100,100,0,100,100
